City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Larsnes,NO,2022-05-14 16:25:45,62.2028,5.5773,50.41,74,75,14.58
95,Bathsheba,BB,2022-05-14 16:25:45,13.2167,-59.5167,82.58,65,98,18.48
96,Lincoln,US,2022-05-14 16:22:31,40.8,-96.667,80.67,54,0,13.8
97,Boca Do Acre,BR,2022-05-14 16:25:46,-8.7522,-67.3978,87.85,65,66,0.51
98,Torbat-E Jam,IR,2022-05-14 16:25:47,35.244,60.6225,61.61,37,47,17.83
99,Ribeira Grande,PT,2022-05-14 16:25:48,38.5167,-28.7,66.6,72,40,19.57
100,Ust-Tsilma,RU,2022-05-14 16:25:49,65.441,52.1498,54.95,72,89,4.7
101,Kloulklubed,PW,2022-05-14 16:25:49,7.0419,134.2556,73.9,77,100,9.15
102,Ahipara,NZ,2022-05-14 16:22:31,-35.1667,173.1667,59.76,83,49,8.37
103,Sawakin,SD,2022-05-14 16:25:50,19.1059,37.3321,87.58,60,0,5.48
104,Lere,NG,2022-05-14 16:25:51,10.387,8.5726,94.69,22,100,7.83
105,Severo-Kurilsk,RU,2022-05-14 16:25:52,50.6789,156.125,37.71,94,100,22.39
106,Catamarca,AR,2022-05-14 16:25:53,-28.4696,-65.7852,67.77,68,2,1.99
107,Hermanus,ZA,2022-05-14 16:25:53,-34.4187,19.2345,57.79,73,8,4.09
108,Rio Bravo,MX,2022-05-14 16:25:54,25.9833,-98.1,87.98,54,0,11.5
109,Qaanaaq,GL,2022-05-14 16:25:55,77.484,-69.3632,19.09,69,38,2.55
110,Cape Town,ZA,2022-05-14 16:25:24,-33.9258,18.4232,61.92,68,0,10.36
111,Husavik,IS,2022-05-14 16:25:56,66.0449,-17.3389,40.59,78,99,14.72
112,Miri,MY,2022-05-14 16:25:57,4.4148,114.0089,80.74,94,40,3.44
113,Souillac,MU,2022-05-14 16:25:57,-20.5167,57.5167,75.58,73,75,6.91
114,Douentza,ML,2022-05-14 16:25:58,14.9951,-2.9517,105.89,5,42,10.49
115,Hithadhoo,MV,2022-05-14 16:25:59,-0.6,73.0833,83.37,70,59,10.0
116,Poso,ID,2022-05-14 16:26:00,-1.3959,120.7524,76.82,92,99,4.09
117,Puerto Ayora,EC,2022-05-14 16:24:36,-0.7393,-90.3518,78.76,95,25,4.0
118,Itupiranga,BR,2022-05-14 16:26:01,-5.1347,-49.3267,91.72,58,24,5.1
119,Saldanha,ZA,2022-05-14 16:26:02,-33.0117,17.9442,60.85,79,0,12.44
120,Lobatse,BW,2022-05-14 16:26:02,-25.2167,25.6667,69.28,28,64,1.52
121,Oktyabrskiy,RU,2022-05-14 16:26:03,54.4815,53.471,52.48,78,85,8.41
122,Atar,MR,2022-05-14 16:26:04,20.5169,-13.0499,108.1,7,100,11.45
123,Mar Del Plata,AR,2022-05-14 16:23:03,-38.0023,-57.5575,60.94,41,0,9.22
124,Sobolevo,RU,2022-05-14 16:26:05,54.4299,31.8996,48.76,90,100,10.4
125,Senanga,ZM,2022-05-14 16:26:06,-16.1167,23.2667,76.23,33,27,4.99
126,College,US,2022-05-14 16:26:07,64.8569,-147.8028,38.28,92,75,1.99
127,San Martin,AR,2022-05-14 16:26:07,-33.081,-68.4681,59.54,48,100,10.85
128,Visby,SE,2022-05-14 16:26:08,57.6409,18.296,59.05,67,20,9.22
129,Tessalit,ML,2022-05-14 16:26:09,20.1986,1.0114,99.9,5,0,10.22
130,Vikhorevka,RU,2022-05-14 16:26:10,56.1201,101.1636,58.59,37,27,1.88
131,Paita,PE,2022-05-14 16:26:11,-5.0892,-81.1144,71.74,73,29,8.52
132,Chernyshevskiy,RU,2022-05-14 16:26:11,63.0128,112.4714,32.18,98,99,2.28
133,Kapaa,US,2022-05-14 16:22:57,22.0752,-159.319,73.72,92,100,13.8
134,Camocim,BR,2022-05-14 16:26:12,-2.9022,-40.8411,83.44,74,99,11.48
135,Kargopol,RU,2022-05-14 16:26:13,61.5071,38.9456,50.58,78,89,4.99
136,Marmashen,AM,2022-05-14 16:26:14,40.8349,43.7779,61.48,39,40,5.75
137,Bengkulu,ID,2022-05-14 16:25:11,-3.8004,102.2655,79.5,89,94,4.27
138,Tamale,GH,2022-05-14 16:26:20,9.4008,-0.8393,98.35,33,81,3.96
139,Pierre,US,2022-05-14 16:26:21,44.3683,-100.351,60.85,34,0,18.99
140,Longyearbyen,SJ,2022-05-14 16:26:22,78.2186,15.6401,28.24,69,75,4.61
141,Awbari,LY,2022-05-14 16:26:22,26.5921,12.7805,82.31,15,0,11.86
142,Ascension,US,2022-05-14 16:26:23,30.2169,-90.9001,82.09,75,75,5.75
143,Ukiah,US,2022-05-14 16:26:24,39.1502,-123.2078,68.05,78,0,1.99
144,Mangrol,IN,2022-05-14 16:26:24,21.1167,70.1167,83.88,79,0,12.75
145,Hearst,CA,2022-05-14 16:24:23,49.6835,-83.6665,73.65,53,94,6.04
146,Bilibino,RU,2022-05-14 16:26:26,68.0546,166.4372,32.22,99,100,6.8
147,Kidal,ML,2022-05-14 16:26:27,18.4411,1.4078,104.67,5,4,5.12
148,Lewiston,US,2022-05-14 16:25:03,44.1003,-70.2148,91.71,47,20,3.44
149,Avarua,CK,2022-05-14 16:26:28,-21.2078,-159.775,80.65,78,75,16.11
150,Luderitz,NA,2022-05-14 16:26:29,-26.6481,15.1594,63.23,61,0,14.47
151,San Mateo Del Mar,MX,2022-05-14 16:26:30,16.2,-95.0,85.6,56,14,14.85
152,Rawson,AR,2022-05-14 16:26:31,-43.3002,-65.1023,53.98,46,2,18.37
153,Oranjemund,NA,2022-05-14 16:26:31,-28.55,16.4333,57.78,75,0,18.14
154,Arkhangelskoye,RU,2022-05-14 16:26:32,55.8549,35.3287,50.79,65,99,8.59
155,Begowal,IN,2022-05-14 16:26:34,31.6167,75.5167,95.77,5,0,3.85
156,Sonoita,MX,2022-05-14 16:26:34,31.85,-112.8333,87.8,6,0,3.22
157,Koson,UZ,2022-05-14 16:26:35,39.0375,65.585,68.32,41,71,10.27
158,Barwani,IN,2022-05-14 16:26:36,22.0333,74.9,99.19,21,0,9.19
159,Maldonado,UY,2022-05-14 16:26:36,-34.6667,-54.9167,69.19,50,15,1.99
160,Nizwa,OM,2022-05-14 16:26:37,22.9333,57.5333,89.11,20,0,6.35
161,Yerbogachen,RU,2022-05-14 16:26:38,61.2767,108.0108,49.33,59,65,1.23
162,Bhuj,IN,2022-05-14 16:26:38,23.2667,69.6667,84.7,67,0,18.57
163,Vao,NC,2022-05-14 16:26:39,-22.6667,167.4833,73.31,74,99,18.37
164,Cururupu,BR,2022-05-14 16:26:40,-1.8283,-44.8683,87.57,60,69,8.39
165,Codrington,AU,2022-05-14 16:26:41,-38.2667,141.9667,54.34,94,0,11.18
166,Hamilton,US,2022-05-14 16:19:22,39.1834,-84.5333,83.03,56,20,3.0
167,Hirara,JP,2022-05-14 16:26:42,24.8,125.2833,78.46,84,100,11.63
168,Nanortalik,GL,2022-05-14 16:26:43,60.1432,-45.2371,32.54,78,88,8.19
169,Tupelo,US,2022-05-14 16:22:10,34.2576,-88.7034,80.42,57,0,3.44
170,Bandarbeyla,SO,2022-05-14 16:26:44,9.4942,50.8122,83.21,81,2,20.98
171,Ust-Maya,RU,2022-05-14 16:26:44,60.4167,134.5333,33.73,98,100,5.73
172,Port Shepstone,ZA,2022-05-14 16:26:45,-30.7414,30.455,67.6,82,100,16.17
173,Faanui,PF,2022-05-14 16:23:03,-16.4833,-151.75,81.12,67,67,13.62
174,Talaya,RU,2022-05-14 16:26:46,61.3833,152.75,28.22,92,100,4.21
175,Flinders,AU,2022-05-14 16:26:47,-34.5833,150.8552,68.25,92,25,4.0
176,Kutum,SD,2022-05-14 16:26:47,14.2,24.6667,92.12,20,64,8.34
177,Port Augusta,AU,2022-05-14 16:26:48,-32.5,137.7667,60.4,73,0,4.14
178,Umm Bab,QA,2022-05-14 16:26:49,25.2142,50.8072,82.53,45,0,19.22
179,Chateaubelair,VC,2022-05-14 16:26:50,13.2833,-61.25,77.52,83,40,11.5
180,Naze,JP,2022-05-14 16:26:08,28.3667,129.4833,63.52,88,100,7.7
181,Lodja,CD,2022-05-14 16:26:51,-3.4833,23.4333,82.94,56,87,2.55
182,Coihaique,CL,2022-05-14 16:26:57,-45.5752,-72.0662,49.95,62,20,4.61
183,Mariental,NA,2022-05-14 16:26:57,-24.6333,17.9667,75.16,16,0,3.2
184,Bereda,ES,2022-05-14 16:26:58,43.2686,-7.5406,75.6,47,74,3.15
185,Tasiilaq,GL,2022-05-14 16:26:59,65.6145,-37.6368,30.36,63,82,4.76
186,Nome,US,2022-05-14 16:22:48,64.5011,-165.4064,30.27,74,0,0.0
187,San Cristobal,VE,2022-05-14 16:26:12,7.7669,-72.225,82.58,50,99,8.23
188,Solnechnyy,RU,2022-05-14 16:27:01,50.7214,136.6319,39.85,89,91,9.22
189,Rosetta,EG,2022-05-14 16:27:01,31.4044,30.4164,68.45,71,100,14.12
190,Biltine,TD,2022-05-14 16:27:02,14.5333,20.9167,103.68,10,18,9.78
191,Muisne,EC,2022-05-14 16:27:03,0.6,-80.0333,79.09,83,100,10.56
192,Port-Gentil,GA,2022-05-14 16:27:03,-0.7193,8.7815,84.16,79,40,11.5
193,Saint-Louis,SN,2022-05-14 16:27:04,16.3333,-15.0,112.64,6,33,13.35
194,Turbat,PK,2022-05-14 16:27:05,26.0023,63.044,94.51,26,0,9.08
195,Sakakah,SA,2022-05-14 16:27:05,29.9697,40.2064,90.97,12,27,9.28
196,Noumea,NC,2022-05-14 16:27:06,-22.2763,166.4572,69.78,80,99,8.46
197,Kitimat,CA,2022-05-14 16:27:07,54.0524,-128.6534,46.9,24,99,1.43
198,Quatre Cocos,MU,2022-05-14 16:27:07,-20.2078,57.7625,75.31,71,66,12.64
199,Tebingtinggi,ID,2022-05-14 16:27:08,3.3285,99.1625,77.72,94,50,2.86
200,Geraldton,AU,2022-05-14 16:27:09,-28.7667,114.6,57.61,88,72,10.36
201,Bethel,US,2022-05-14 16:23:13,41.3712,-73.414,81.18,70,75,1.01
202,Hobyo,SO,2022-05-14 16:27:10,5.3505,48.5268,82.04,82,74,24.81
203,Murgab,TM,2022-05-14 16:27:11,37.4966,61.9714,73.27,33,3,6.91
204,Antalaha,MG,2022-05-14 16:27:11,-14.9003,50.2788,75.11,70,0,12.95
205,Owando,CG,2022-05-14 16:27:12,-0.4819,15.8999,73.76,95,99,3.78
206,Sinnamary,GF,2022-05-14 16:27:13,5.3833,-52.95,81.7,83,88,9.4
207,Sao Felix Do Xingu,BR,2022-05-14 16:27:13,-6.6447,-51.995,89.44,54,37,5.93
208,Sao Jose Da Coroa Grande,BR,2022-05-14 16:27:14,-8.8978,-35.1478,83.89,67,90,11.3
209,Saint-Pierre,RE,2022-05-14 16:27:15,-21.3393,55.4781,74.88,69,20,13.8
210,Atocha,BO,2022-05-14 16:22:31,-20.9333,-66.2333,48.67,8,0,24.76
211,Saint-Paul,RE,2022-05-14 16:25:41,-21.0096,55.2707,75.31,76,49,1.95
212,Kalmunai,LK,2022-05-14 16:25:02,7.4167,81.8167,80.26,84,100,8.28
213,Kavaratti,IN,2022-05-14 16:27:17,10.5669,72.642,81.28,80,100,24.09
214,Barrhead,GB,2022-05-14 16:27:18,55.7992,-4.3929,63.84,67,20,11.5
215,Rundu,NA,2022-05-14 16:27:19,-17.9333,19.7667,74.35,23,0,3.31
216,Dunedin,NZ,2022-05-14 16:27:20,-45.8742,170.5036,47.8,85,100,0.94
217,Fukue,JP,2022-05-14 16:27:21,32.6881,128.8419,64.44,52,79,22.91
218,Lambarene,GA,2022-05-14 16:27:21,-0.7001,10.2406,81.97,86,85,3.85
219,Honiara,SB,2022-05-14 16:27:22,-9.4333,159.95,77.22,88,10,2.28
220,Miraflores,MX,2022-05-14 16:27:23,19.2167,-98.8083,70.03,28,50,3.62
221,La Ronge,CA,2022-05-14 16:27:24,55.1001,-105.2842,37.65,87,100,13.8
222,Havre-Saint-Pierre,CA,2022-05-14 16:27:24,50.2334,-63.5986,64.76,25,0,11.5
223,Dongsheng,CN,2022-05-14 16:25:19,39.8161,109.9776,48.18,22,21,4.14
224,Grand Gaube,MU,2022-05-14 16:27:27,-20.0064,57.6608,75.6,70,5,5.99
225,Homer,US,2022-05-14 16:27:33,59.6425,-151.5483,40.8,77,0,5.99
226,Fortuna,US,2022-05-14 16:27:34,40.5982,-124.1573,66.92,89,72,1.99
227,Digapahandi,IN,2022-05-14 16:27:34,19.3667,84.5833,87.06,73,62,7.38
228,Nantucket,US,2022-05-14 16:25:29,41.2835,-70.0995,77.11,94,100,12.66
229,Manaus,BR,2022-05-14 16:26:09,-3.1019,-60.025,90.1,66,40,8.05
230,Sabang,ID,2022-05-14 16:27:36,5.8933,95.3214,84.11,75,100,3.51
231,Rio Gallegos,AR,2022-05-14 16:27:37,-51.6226,-69.2181,46.45,61,0,9.22
232,Manzanillo,CU,2022-05-14 16:27:37,20.3433,-77.1167,86.86,52,93,2.57
233,Ambilobe,MG,2022-05-14 16:27:38,-13.2,49.05,72.81,75,0,2.64
234,Kathmandu,NP,2022-05-14 16:27:04,27.7167,85.3167,73.62,88,40,3.44
235,Taoudenni,ML,2022-05-14 16:27:39,22.6783,-3.9836,101.57,7,9,20.96
236,Bontang,ID,2022-05-14 16:27:40,0.1333,117.5,77.81,87,100,1.81
237,Ponta Do Sol,PT,2022-05-14 16:27:41,32.6667,-17.1,76.71,65,10,10.0
238,Aklavik,CA,2022-05-14 16:27:41,68.2191,-135.0107,23.0,80,100,11.5
239,Quarai,BR,2022-05-14 16:27:42,-30.3875,-56.4514,66.4,72,76,6.31
240,Verkhoyansk,RU,2022-05-14 16:27:43,67.5447,133.385,19.99,86,100,5.3
241,Baykit,RU,2022-05-14 16:27:43,61.67,96.37,51.8,62,0,3.06
242,Half Moon Bay,US,2022-05-14 16:27:44,37.4636,-122.4286,70.61,75,0,4.61
243,Sarangani,PH,2022-05-14 16:27:45,5.4033,125.4636,81.48,79,100,5.35
244,Sitka,US,2022-05-14 16:27:45,57.0531,-135.33,46.29,71,40,5.75
245,Manbij,SY,2022-05-14 16:27:46,36.5281,37.9549,75.94,37,85,28.7
246,Carnarvon,AU,2022-05-14 16:27:47,-24.8667,113.6333,66.7,46,0,16.26
247,Villamar,MX,2022-05-14 16:27:48,20.0167,-102.6,85.46,33,8,0.94
248,Chimbote,PE,2022-05-14 16:27:48,-9.0853,-78.5783,69.28,73,74,7.78
249,Cairns,AU,2022-05-14 16:27:49,-16.9167,145.7667,75.07,96,40,0.0
250,Omsukchan,RU,2022-05-14 16:27:50,62.5333,155.8,27.64,98,97,7.0
